price,size,balcony,juliet_balcony,basement,terrace,loggia,yard,attic,floor,rooms,offering,date_listed,street,borough
7900,78,0,0,0,1,0,0,0,7,3,agency,2023-06-01,Prusa,Śródmieście
7900,91,1,0,0,0,0,0,0,6,4,agency,2023-06-17,Matejki,Śródmieście
7900,100,1,0,0,0,0,0,0,7,4,agency,2023-06-06,Haukego-bosaka,Krzyki
7900,115,1,0,1,0,0,0,0,1,4,agency,2022-08-10,Pereca,Fabryczna
7900,115,1,0,1,0,0,0,0,1,4,agency,2022-08-10,,Krzyki
7900,116,0,0,0,1,0,0,0,5,4,agency,2023-06-07,Przyjaźni,Krzyki
7900,350,0,0,1,1,0,0,0,1,12,agency,2023-02-13,,Fabryczna
7900,351,0,0,1,1,0,0,0,1,12,agency,2023-06-01,,Fabryczna
7900,351,0,0,1,1,0,0,0,1,12,agency,2023-03-17,,Fabryczna
7800,87,1,0,1,0,0,0,0,8,4,agency,2023-06-01,Białowieska,Fabryczna
7800,115,1,0,1,0,0,0,0,6,4,agency,2023-04-27,Białowieska,Fabryczna
7700,130,0,0,0,1,0,0,0,1,6,agency,2022-03-17,Klimasa,Krzyki
7500,53,0,0,0,0,0,0,0,4,2,agency,2022-12-13,Staromłyńska,Stare miasto
7500,65,1,0,0,0,0,0,0,3,3,agency,2022-06-10,Śrutowa,Śródmieście
7500,73,1,0,0,0,0,0,0,5,3,agency,2023-02-22,Jana pawła ii,Stare miasto
7500,74,0,0,0,1,0,0,0,9,3,agency,2023-01-05,,Krzyki
7500,83,1,0,0,0,0,0,0,1,3,agency,2022-08-22,,Stare miasto
7500,84.21,1,0,0,0,0,0,0,1,4,agency,2022-06-06,Hallera,Fabryczna
7500,86,0,0,0,1,0,0,0,1,4,agency,2022-06-03,Hallera,Fabryczna
7500,86,1,0,0,0,0,0,0,1,3,agency,2022-02-05,Turniejowa,Krzyki
7500,90,0,0,0,1,0,0,0,2,3,agency,2022-08-10,,Psie pole
7500,94,1,0,0,0,0,0,0,1,4,private,2022-05-27,Łódzka,Krzyki
7500,97,0,0,0,0,0,0,0,6,4,agency,2022-11-25,Kościuszki,Krzyki
7500,97.4,1,0,1,0,0,1,0,0,4,agency,2023-05-17,Obrońców poczty gdańskiej,Krzyki
7500,105,0,0,0,1,0,0,0,1,4,agency,2022-11-21,,Fabryczna
7500,110,0,0,0,1,0,0,0,3,3,agency,2022-03-01,Zyndrama z maszkowic,Stare miasto
7500,115,0,0,0,1,0,0,0,3,4,agency,2023-04-27,Inowrocławska,Stare miasto
7500,118.42,0,0,1,0,0,1,0,1,4,agency,2023-06-17,Filomatów,Psie pole
7500,120,1,0,0,0,0,1,0,1,4,agency,2023-05-29,Piastów,Fabryczna
7500,121,0,0,0,0,0,0,0,0,3,agency,2022-09-28,,Krzyki
7500,125,1,0,0,0,0,0,0,3,4,agency,2023-03-23,,Krzyki
7500,150,1,0,0,0,0,0,0,1,5,agency,2023-03-11,Sezamkowa,Krzyki
7500,150,1,0,0,0,0,0,0,1,5,agency,2023-02-01,Sezamkowa,Krzyki
7499,101,0,0,0,0,0,0,0,3,4,agency,2023-06-16,Granitowa,Krzyki
7400,100,0,0,0,1,0,0,0,7,3,agency,2022-10-06,Jodłowa,Stare miasto
7400,112,0,0,0,0,0,0,0,5,5,agency,2023-06-14,Skwierzyńska,Krzyki
7400,120,0,0,1,0,0,0,0,0,2,agency,2022-03-14,,Śródmieście
7300,120,0,0,0,1,0,0,0,1,4,agency,2022-09-03,Rzeźbiarska,Śródmieście
7200,62,0,0,0,1,0,0,0,5,3,agency,2023-06-07,Witolda,Stare miasto
7200,73,1,0,0,0,0,0,0,2,3,agency,2023-06-17,Turniejowa,Krzyki
7200,82,1,0,0,0,0,0,0,8,3,agency,2023-02-13,Dmowskiego,Stare miasto
7200,116,1,0,1,0,0,0,0,4,4,agency,2023-01-30,Przyjaźni,Krzyki
7200,116,0,0,0,0,0,0,0,5,4,agency,2022-12-12,Przyjaźni,Krzyki
7000,46,1,0,1,0,0,0,0,2,2,agency,2023-04-14,Jana pawła ii,Stare miasto
7000,48,0,0,0,1,0,0,0,1,2,agency,2022-09-09,Wszystkich świętych,Stare miasto
7000,48,0,0,0,1,0,0,0,1,2,agency,2022-09-28,,Stare miasto
7000,61,1,0,0,0,0,0,0,2,3,agency,2023-05-22,Mostowa,Śródmieście
7000,62,0,0,0,1,0,0,0,6,3,agency,2023-06-03,Witolda,Stare miasto
7000,67,0,0,0,1,0,0,0,8,3,agency,2022-09-03,Podwale,Stare miasto
7000,75.57,0,0,0,1,0,0,0,7,3,agency,2023-03-30,Witolda,Stare miasto
7000,77,1,0,1,0,0,0,0,1,3,agency,2022-11-22,Gdańska,Śródmieście
7000,77,1,0,0,0,0,1,0,1,3,agency,2023-04-06,,Śródmieście
7000,79,0,0,0,0,0,0,0,2,2,agency,2022-11-16,,Śródmieście
7000,86,1,0,0,0,0,0,0,1,2,agency,2022-07-07,Gdańska,Śródmieście
7000,87,1,0,1,0,0,0,0,8,4,agency,2022-05-31,Białowieska,Fabryczna
7000,89,1,0,0,0,0,0,0,1,4,agency,2023-02-10,Tęczowa,Stare miasto
7000,100,0,0,0,1,0,0,0,5,3,agency,2023-01-05,Przyjaźni,Krzyki
7000,100,0,0,0,0,0,0,0,1,3,agency,2022-12-15,Wietrzna,Krzyki
7000,110,0,0,0,1,0,0,0,2,3,agency,2023-05-04,Zyndrama z maszkowic,Śródmieście
7000,127,1,0,1,0,0,0,0,3,4,agency,2023-03-16,Krawiecka,Stare miasto
7000,130,1,0,0,0,0,0,0,3,4,agency,2023-06-03,Krawiecka,Stare miasto
7000,131,1,0,0,0,0,0,0,2,4,agency,2023-05-16,Krawiecka,Stare miasto
7000,131,1,0,1,0,0,0,0,3,4,agency,2023-03-05,Krawiecka,Stare miasto
7000,131,0,0,1,1,0,0,0,3,4,agency,2023-02-21,Krawiecka,Stare miasto
7000,131,1,0,1,0,0,0,0,3,4,agency,2023-02-13,Krawiecka,Stare miasto
7000,140,1,0,0,0,0,0,0,2,5,agency,2023-05-20,Pasteura,Śródmieście
7000,150,0,0,1,1,0,0,0,,4,agency,2022-08-08,,Krzyki
7000,150,0,0,0,0,0,0,0,,4,agency,2022-08-08,,Krzyki
7000,163,0,0,0,0,0,0,0,1,6,agency,2023-03-08,Pogodna,Krzyki
7000,180,1,0,1,0,0,0,0,1,5,agency,2023-06-03,Parkowa,Śródmieście
6999,110,0,0,0,1,0,0,0,2,3,agency,2023-05-05,Zyndrama z maszkowic,Śródmieście
6950,103,1,0,0,0,0,0,0,3,3,agency,2022-04-21,Sztabowa,Krzyki
6900,72,1,0,0,0,0,0,0,4,3,agency,2023-06-06,Podwale,Stare miasto
